"('face', 0.9892233610153198, (635.893310546875, 287.2230529785156, 90.93547821044922, 101.88372802734375))","('map', 0.9617370367050171, (1213.3291015625, 231.04354858398438, 113.85955047607422, 191.94215393066406))","('dice', 0.8770001530647278, (617.174560546875, 97.49725341796875, 63.398014068603516, 108.15719604492188))","('key', 0.35074543952941895, (904.720947265625, 128.5559539794922, 103.78709411621094, 49.15580368041992))","('ball', 0.2981674373149872, (352.24566650390625, 600.9537353515625, 95.83619689941406, 100.36540985107422))"
"('face', 0.9933190941810608, (635.1043090820312, 287.1914978027344, 92.01863098144531, 102.02685546875))","('map', 0.9611524343490601, (1211.9312744140625, 230.52346801757812, 112.3704605102539, 196.11053466796875))","('dice', 0.909528374671936, (616.5833129882812, 97.42300415039062, 61.47747039794922, 107.53843688964844))","('key', 0.3548499643802643, (902.25146484375, 129.33717346191406, 120.51406860351562, 65.51261901855469))","('ball', 0.2604878842830658, (351.080322265625, 601.08349609375, 95.76603698730469, 99.79122161865234))"
"('face', 0.9942737817764282, (632.5728759765625, 287.23883056640625, 92.13103485107422, 105.48419952392578))","('map', 0.9511942267417908, (1208.99609375, 231.82408142089844, 132.5031280517578, 217.67138671875))","('dice', 0.8473176956176758, (614.2427978515625, 97.18275451660156, 62.26292037963867, 108.01205444335938))","('key', 0.384592741727829, (900.9224853515625, 129.69784545898438, 119.19003295898438, 66.641845703125))"
"('face', 0.9925684332847595, (628.2280883789062, 287.8138427734375, 87.65486907958984, 105.49064636230469))","('map', 0.9627648591995239, (1207.6258544921875, 231.75064086914062, 135.38067626953125, 217.4589385986328))","('dice', 0.8410328030586243, (612.1292724609375, 97.84903717041016, 62.32375717163086, 107.7486801147461))","('key', 0.3265623152256012, (898.6634521484375, 129.83473205566406, 116.88468933105469, 67.11534881591797))","('ball', 0.2560228705406189, (323.041015625, 597.553955078125, 94.3043441772461, 93.01725006103516))"
"('face', 0.9844610095024109, (620.9400634765625, 287.4450988769531, 89.89799499511719, 102.28873443603516))","('map', 0.9739017486572266, (1205.5830078125, 231.39759826660156, 139.40557861328125, 218.84365844726562))","('dice', 0.860640823841095, (608.669677734375, 97.7143325805664, 64.08271789550781, 105.84536743164062))","('key', 0.28516635298728943, (896.2161865234375, 129.65684509277344, 117.3743896484375, 67.44386291503906))"
"('face', 0.9956953525543213, (614.544677734375, 287.3671875, 92.53678894042969, 109.87382507324219))","('map', 0.9896298050880432, (1204.15771484375, 232.19720458984375, 146.238525390625, 214.61085510253906))","('dice', 0.8548527359962463, (604.216552734375, 98.41838073730469, 63.27431106567383, 101.08468627929688))"
"('face', 0.9923241138458252, (612.4205322265625, 287.5057067871094, 95.7426528930664, 110.30386352539062))","('map', 0.9883587956428528, (1201.8956298828125, 234.05528259277344, 149.77960205078125, 212.5771484375))","('dice', 0.8189547061920166, (601.9450073242188, 99.38815307617188, 62.44560241699219, 104.14080047607422))","('key', 0.2865482270717621, (889.7764892578125, 129.73583984375, 126.08200073242188, 68.69017028808594))","('ball', 0.2574802339076996, (313.5865478515625, 599.640625, 93.89083099365234, 97.06989288330078))"
"('map', 0.9951549172401428, (1202.069580078125, 235.63340759277344, 151.98977661132812, 215.24050903320312))","('face', 0.9895693063735962, (608.4091796875, 287.4276123046875, 94.90485382080078, 109.72639465332031))","('dice', 0.7948208451271057, (599.1451416015625, 100.1583480834961, 63.52195739746094, 105.80661010742188))","('ball', 0.38188210129737854, (312.1017761230469, 600.302490234375, 93.0465087890625, 98.95423126220703))"
"('map', 0.9941096305847168, (1201.785400390625, 238.2738494873047, 153.40640258789062, 215.03042602539062))","('face', 0.9932560324668884, (602.1658935546875, 288.5592041015625, 88.2130355834961, 110.5195083618164))","('dice', 0.6641162633895874, (596.3623657226562, 99.55471801757812, 64.05143737792969, 108.28929901123047))","('key', 0.3721486032009125, (876.7072143554688, 130.38150024414062, 122.75605010986328, 68.1722640991211))","('ball', 0.36920106410980225, (310.44769287109375, 601.1786499023438, 89.46011352539062, 95.92436981201172))"
"('map', 0.9968199133872986, (1200.6778564453125, 240.74879455566406, 156.43206787109375, 217.99049377441406))","('face', 0.9876716732978821, (596.4403076171875, 289.3697204589844, 87.61207580566406, 103.14764404296875))","('dice', 0.5339198708534241, (595.8603515625, 102.18008422851562, 63.61507797241211, 107.97250366210938))","('ball', 0.4482748806476593, (308.2159118652344, 601.91552734375, 88.3315658569336, 94.20547485351562))","('key', 0.3443741798400879, (875.92333984375, 132.5482635498047, 125.4908447265625, 65.92979431152344))"
"('face', 0.9922025203704834, (594.281982421875, 290.1453857421875, 86.61251068115234, 105.4777603149414))","('map', 0.9912828207015991, (1201.958740234375, 241.90989685058594, 150.29241943359375, 215.34564208984375))","('dice', 0.667815089225769, (580.5308227539062, 101.62692260742188, 65.79487609863281, 106.207763671875))","('ball', 0.3476586639881134, (311.0357971191406, 602.5087890625, 90.48149871826172, 94.11783599853516))","('key', 0.339643269777298, (873.2211303710938, 134.44766235351562, 108.7679443359375, 50.82463073730469))"
"('map', 0.992271900177002, (1198.781982421875, 242.34567260742188, 145.95318603515625, 222.670166015625))","('face', 0.9826856255531311, (592.12255859375, 291.38433837890625, 83.37581634521484, 108.88578796386719))","('dice', 0.7923060059547424, (578.3741455078125, 102.68358612060547, 64.77481842041016, 107.19766998291016))","('key', 0.40850239992141724, (871.461669921875, 142.51853942871094, 107.73722839355469, 49.77167510986328))","('ball', 0.36014237999916077, (310.7815246582031, 603.0404663085938, 93.501953125, 95.9756088256836))"
