"('face', 0.9769179821014404, (341.3210754394531, 324.81768798828125, 84.39982604980469, 97.21813201904297))","('map', 0.9729527831077576, (1208.21044921875, 235.74658203125, 136.37586975097656, 213.30496215820312))","('dice', 0.9319099187850952, (601.504150390625, 101.63888549804688, 64.68000030517578, 110.60049438476562))","('ball', 0.6748554706573486, (260.88214111328125, 597.443359375, 92.19853210449219, 81.42237091064453))","('key', 0.2503030300140381, (898.4191284179688, 141.91612243652344, 122.83100128173828, 65.92979431152344))"
"('face', 0.9786125421524048, (341.380615234375, 325.2573547363281, 83.62043762207031, 97.55098724365234))","('map', 0.9738022685050964, (1208.726318359375, 235.94345092773438, 134.78704833984375, 214.92544555664062))","('dice', 0.9467753171920776, (601.4469604492188, 101.56102752685547, 66.7005844116211, 110.35774230957031))","('ball', 0.639682412147522, (260.54669189453125, 597.549072265625, 91.25797271728516, 80.78874206542969))"
"('map', 0.9778419137001038, (1207.4202880859375, 237.0302276611328, 136.64248657226562, 215.13543701171875))","('face', 0.9772683382034302, (340.92877197265625, 326.1641845703125, 82.72697448730469, 99.36578369140625))","('dice', 0.9444308280944824, (600.6375732421875, 102.93010711669922, 66.928955078125, 109.592529296875))","('ball', 0.6504141688346863, (261.63873291015625, 598.0146484375, 93.37648010253906, 79.43919372558594))","('key', 0.4017988443374634, (896.2239990234375, 142.47018432617188, 122.53897094726562, 67.55921936035156))"
"('face', 0.9747055172920227, (340.5598449707031, 327.12982177734375, 83.25377655029297, 97.12027740478516))","('map', 0.9679860472679138, (1209.05419921875, 240.92068481445312, 137.91607666015625, 215.87203979492188))","('dice', 0.9606751203536987, (600.6067504882812, 104.43693542480469, 67.58576202392578, 112.3421859741211))","('ball', 0.5840914845466614, (262.25146484375, 598.9439086914062, 91.61514282226562, 78.94617462158203))","('key', 0.5758386850357056, (896.02978515625, 142.84548950195312, 124.05911254882812, 68.20555877685547))"
"('face', 0.9792497158050537, (340.6390686035156, 335.084228515625, 82.5857162475586, 101.57947540283203))","('map', 0.9739546775817871, (1207.383056640625, 240.42538452148438, 140.97999572753906, 218.89710998535156))","('dice', 0.9429360628128052, (600.8942260742188, 105.78181457519531, 66.14920806884766, 110.73558044433594))","('key', 0.6303091049194336, (896.5806884765625, 143.9336700439453, 125.73617553710938, 65.73693084716797))","('ball', 0.5418382883071899, (263.0872802734375, 599.9111938476562, 90.59201049804688, 78.17897033691406))"
"('face', 0.9967499375343323, (341.2051696777344, 336.46246337890625, 82.64622497558594, 100.43280792236328))","('map', 0.9734631776809692, (1209.5408935546875, 243.86264038085938, 141.46267700195312, 227.1728515625))","('dice', 0.8735657930374146, (601.9028930664062, 114.25941467285156, 71.85690307617188, 111.07402801513672))","('key', 0.7690049409866333, (897.3380126953125, 147.23739624023438, 127.03209686279297, 66.9680404663086))","('ball', 0.4483742415904999, (260.8670349121094, 601.2565307617188, 88.86150360107422, 80.51307678222656))"
"('face', 0.9939659833908081, (341.9181823730469, 343.8122253417969, 84.60613250732422, 96.0459213256836))","('map', 0.9695531129837036, (1209.1317138671875, 247.3697509765625, 139.47366333007812, 230.4125213623047))","('dice', 0.9402481317520142, (600.9808959960938, 118.61153411865234, 70.91578674316406, 114.6138916015625))","('key', 0.5953561067581177, (896.3734130859375, 150.55618286132812, 122.74107360839844, 67.31226348876953))","('ball', 0.45611104369163513, (265.2893371582031, 617.9306640625, 102.46641540527344, 77.49485778808594))"
"('face', 0.9887876510620117, (341.32708740234375, 348.0553283691406, 86.46461486816406, 96.08550262451172))","('map', 0.9557411074638367, (1210.3699951171875, 248.29013061523438, 139.54177856445312, 233.81256103515625))","('dice', 0.9501325488090515, (600.568359375, 124.36805725097656, 68.1158447265625, 111.97254180908203))","('ball', 0.7423772215843201, (264.14898681640625, 621.5737915039062, 97.69062042236328, 80.22856140136719))","('key', 0.5665410757064819, (895.679931640625, 155.38433837890625, 121.34071350097656, 67.60871887207031))"
"('face', 0.9798874855041504, (341.0079345703125, 353.23321533203125, 84.70947265625, 98.55039978027344))","('map', 0.9595741629600525, (1210.330078125, 250.50936889648438, 137.98342895507812, 238.42408752441406))","('dice', 0.9404800534248352, (600.3027954101562, 128.941650390625, 70.50147247314453, 111.713134765625))","('ball', 0.7512384057044983, (263.2940368652344, 624.8472290039062, 94.5810317993164, 79.43919372558594))","('key', 0.3797581195831299, (895.0869750976562, 159.74972534179688, 126.62184143066406, 72.05702209472656))"
"('face', 0.9765622019767761, (341.23602294921875, 355.9037780761719, 82.48497009277344, 98.42716979980469))","('map', 0.9652836918830872, (1210.8199462890625, 255.59408569335938, 136.30929565429688, 238.65704345703125))","('dice', 0.9521380066871643, (600.5836791992188, 132.79861450195312, 68.80109405517578, 114.76789093017578))","('ball', 0.6214871406555176, (262.84405517578125, 627.0369262695312, 91.87271881103516, 81.00599670410156))","('key', 0.5952911376953125, (896.9381103515625, 169.86419677734375, 124.97108459472656, 68.03924560546875))"
"('face', 0.9926083087921143, (341.6363220214844, 363.5110778808594, 78.32432556152344, 99.79122161865234))","('map', 0.954980194568634, (1209.73681640625, 258.0704040527344, 137.57977294921875, 237.95889282226562))","('dice', 0.9307429194450378, (600.80029296875, 134.7545623779297, 64.52228546142578, 112.78189086914062))","('key', 0.6593893766403198, (896.9874267578125, 172.6793212890625, 124.70440673828125, 67.19732666015625))","('ball', 0.31148287653923035, (264.74114990234375, 627.9918212890625, 91.13551330566406, 78.37007141113281))"
"('face', 0.996852457523346, (342.1883544921875, 364.0254211425781, 78.36258697509766, 94.14225006103516))","('map', 0.9365649819374084, (1208.5535888671875, 260.9786071777344, 136.7760009765625, 235.07176208496094))","('dice', 0.9082024693489075, (602.294677734375, 142.75616455078125, 72.17337036132812, 115.54102325439453))","('key', 0.7370172739028931, (897.4567260742188, 174.679931640625, 126.7378158569336, 67.00074768066406))","('ball', 0.2696651816368103, (264.21038818359375, 627.6427001953125, 89.65689849853516, 78.955810546875))"
"('face', 0.9962111711502075, (342.16119384765625, 364.6610412597656, 78.6692886352539, 92.14474487304688))","('map', 0.9356598854064941, (1209.17041015625, 262.3175048828125, 134.72125244140625, 233.9267578125))","('dice', 0.9027482867240906, (602.784423828125, 143.18727111816406, 70.43266296386719, 117.8342514038086))","('key', 0.7792581915855408, (898.1778564453125, 176.29640197753906, 128.9302215576172, 68.824462890625))","('ball', 0.28373634815216064, (264.9931945800781, 627.5612182617188, 90.75804901123047, 78.34137725830078))"
"('face', 0.9967553615570068, (342.183837890625, 364.5189514160156, 78.9579086303711, 94.45088958740234))","('map', 0.9463663697242737, (1208.4962158203125, 262.77490234375, 134.91873168945312, 234.95700073242188))","('dice', 0.9278714656829834, (602.4854125976562, 143.2102813720703, 70.48426818847656, 118.32433319091797))","('key', 0.7949150204658508, (898.3562622070312, 176.44908142089844, 128.75721740722656, 68.65664672851562))","('ball', 0.313162237405777, (264.8570861816406, 627.879150390625, 90.91328430175781, 78.35093688964844))"
"('face', 0.9963813424110413, (341.67974853515625, 364.2911071777344, 78.74614715576172, 95.88191986083984))","('map', 0.9375123381614685, (1208.7840576171875, 263.2227783203125, 134.58975219726562, 236.10707092285156))","('dice', 0.9107100963592529, (602.4071655273438, 143.3384246826172, 71.85690307617188, 116.48988342285156))","('key', 0.7663370370864868, (897.3888549804688, 176.15869140625, 126.83067321777344, 67.75743865966797))","('ball', 0.363817423582077, (264.4006042480469, 627.9148559570312, 91.54806518554688, 77.82666015625))"
"('face', 0.9972645044326782, (341.7279052734375, 364.1341247558594, 76.6782455444336, 99.05696105957031))","('map', 0.9372216463088989, (1207.73828125, 263.5622253417969, 136.10977172851562, 234.49856567382812))","('dice', 0.927020788192749, (602.5640258789062, 142.8743896484375, 72.34979248046875, 115.18895721435547))","('key', 0.7678186893463135, (897.2960205078125, 176.0280303955078, 128.33355712890625, 67.31226348876953))","('ball', 0.34417152404785156, (264.071044921875, 627.5853881835938, 90.73589324951172, 79.18746948242188))"
"('face', 0.995287299156189, (341.3390808105469, 363.28131103515625, 77.11002349853516, 99.63907623291016))","('map', 0.9472410678863525, (1208.822509765625, 261.96832275390625, 134.98463439941406, 234.15530395507812))","('dice', 0.9259799122810364, (602.529052734375, 142.23191833496094, 71.68167877197266, 113.90257263183594))","('key', 0.7290059328079224, (897.8787231445312, 175.21011352539062, 127.62272644042969, 67.55921936035156))","('ball', 0.46387338638305664, (263.683349609375, 627.9296875, 91.71585083007812, 80.69017791748047))"
