"('map', 0.9806921482086182, (1206.2818603515625, 244.76942443847656, 151.76730346679688, 221.26121520996094))","('face', 0.9169318079948425, (550.29443359375, 325.9610595703125, 86.86662292480469, 126.27889251708984))","('dice', 0.8013354539871216, (601.80224609375, 103.42768859863281, 63.61507797241211, 105.62593841552734))","('key', 0.6043757796287537, (891.5656127929688, 142.31861877441406, 125.10845947265625, 68.37228393554688))","('face', 0.5859219431877136, (1173.631103515625, 491.5742492675781, 68.44925689697266, 134.02993774414062))","('ball', 0.3728901147842407, (316.2383728027344, 597.8218383789062, 95.18330383300781, 88.08426666259766))"
"('map', 0.9790828227996826, (1205.671875, 244.83860778808594, 151.10182189941406, 220.29100036621094))","('face', 0.8928488492965698, (550.322509765625, 325.69451904296875, 86.14854431152344, 129.14732360839844))","('dice', 0.8208720088005066, (602.004150390625, 103.99745178222656, 63.45995330810547, 105.92291259765625))","('key', 0.6295454502105713, (891.9635620117188, 142.1813201904297, 124.02883911132812, 68.75728607177734))","('face', 0.5591881275177002, (1173.301513671875, 491.66473388671875, 68.41584014892578, 132.792236328125))","('ball', 0.38575509190559387, (316.21783447265625, 597.7053833007812, 95.03237915039062, 88.56134796142578))"
"('map', 0.9810481071472168, (1205.63623046875, 245.2481689453125, 151.54515075683594, 219.21798706054688))","('face', 0.8958113789558411, (550.636962890625, 325.80206298828125, 84.97875213623047, 127.42475891113281))","('dice', 0.8040074110031128, (601.9112548828125, 103.7701187133789, 64.0201644897461, 105.80661010742188))","('key', 0.6337982416152954, (892.059326171875, 142.11886596679688, 123.77171325683594, 68.3555908203125))","('face', 0.5707012414932251, (1173.6890869140625, 491.5337219238281, 68.2823486328125, 137.1748809814453))","('ball', 0.3674154579639435, (316.0712585449219, 597.8627319335938, 95.03237915039062, 89.31861114501953))"
"('map', 0.9784358143806458, (1205.85009765625, 244.598388671875, 152.51016235351562, 219.37860107421875))","('face', 0.8803045153617859, (549.9212036132812, 325.24713134765625, 86.211669921875, 126.83504486083984))","('dice', 0.840061366558075, (601.3492431640625, 103.51168060302734, 65.02833557128906, 105.67753601074219))","('key', 0.6185201406478882, (892.0491943359375, 141.99063110351562, 123.1913833618164, 68.2388687133789))","('face', 0.5630326867103577, (1173.50048828125, 491.5539855957031, 68.41584014892578, 131.8553924560547))","('ball', 0.37838613986968994, (315.7236022949219, 597.5424194335938, 96.11738586425781, 87.23623657226562))"
"('map', 0.9791635274887085, (1205.44140625, 244.97714233398438, 151.69322204589844, 219.21798706054688))","('face', 0.9291185140609741, (550.0372924804688, 322.3095703125, 87.31312561035156, 121.20426177978516))","('dice', 0.8274436593055725, (601.9703369140625, 103.6932373046875, 64.05143737792969, 105.92291259765625))","('face', 0.5916177034378052, (1173.3349609375, 491.799072265625, 67.8171615600586, 134.22640991210938))","('key', 0.5714102387428284, (891.9835815429688, 142.18446350097656, 123.88507843017578, 68.95902252197266))","('ball', 0.3765506148338318, (315.9366760253906, 597.6412963867188, 95.55583953857422, 88.0735092163086))"
"('map', 0.9808478951454163, (1206.2276611328125, 246.21273803710938, 152.21258544921875, 217.88406372070312))","('face', 0.943104088306427, (550.3719482421875, 320.7872619628906, 83.86577606201172, 115.69628143310547))","('dice', 0.8268653750419617, (601.7022705078125, 103.65716552734375, 64.14533233642578, 106.2207260131836))","('face', 0.5991485118865967, (1173.3482666015625, 491.0459899902344, 68.5161361694336, 133.8010711669922))","('key', 0.5141492486000061, (892.34423828125, 142.0481719970703, 122.39694213867188, 68.28887176513672))","('ball', 0.3913266360759735, (315.8665771484375, 597.8611450195312, 95.57917785644531, 87.36945343017578))"
"('face', 0.98016756772995, (548.6844482421875, 320.0186462402344, 84.77153778076172, 113.6109619140625))","('map', 0.9784256815910339, (1205.494384765625, 245.71275329589844, 151.69322204589844, 218.89710998535156))","('dice', 0.8183875679969788, (601.3492431640625, 103.46976470947266, 63.95767593383789, 106.51937103271484))","('face', 0.6177470088005066, (1173.75341796875, 491.90228271484375, 67.42095947265625, 135.74234008789062))","('key', 0.5453059673309326, (891.8790283203125, 142.07569885253906, 122.77104187011719, 68.84127044677734))","('ball', 0.3876235783100128, (315.8607177734375, 598.1057739257812, 95.68424224853516, 87.74888610839844))"
"('face', 0.9864626526832581, (549.175048828125, 320.23681640625, 85.12409973144531, 114.51599884033203))","('map', 0.9782791137695312, (1204.8629150390625, 245.58311462402344, 153.33151245117188, 218.68344116210938))","('dice', 0.8425981998443604, (601.2683715820312, 103.93230438232422, 63.18169021606445, 106.92322540283203))","('face', 0.6287471055984497, (1173.31494140625, 491.7892150878906, 67.09255981445312, 136.27362060546875))","('key', 0.5796769261360168, (891.5750122070312, 142.31861877441406, 124.7805404663086, 67.37803649902344))","('ball', 0.3876296281814575, (315.770263671875, 598.3550415039062, 96.43470001220703, 88.4695053100586))"
"('face', 0.9866685271263123, (548.8409423828125, 320.8414001464844, 84.70947265625, 115.72453308105469))","('map', 0.9800362586975098, (1205.957763671875, 246.3932342529297, 153.4813232421875, 217.08761596679688))","('dice', 0.7788779735565186, (601.6111450195312, 104.37471771240234, 62.598243713378906, 106.81885528564453))","('face', 0.6103413105010986, (1173.4544677734375, 492.2241516113281, 68.08259582519531, 133.8010711669922))","('key', 0.5061272382736206, (891.1303100585938, 142.400390625, 124.4534912109375, 67.4603271484375))","('ball', 0.4176875948905945, (316.47344970703125, 598.4901123046875, 96.36409759521484, 87.50019836425781))"
"('face', 0.9892625212669373, (549.1373291015625, 320.72149658203125, 84.4204330444336, 115.2452163696289))","('map', 0.9796572923660278, (1205.9217529296875, 246.5170440673828, 153.40640258789062, 216.82278442382812))","('dice', 0.784218966960907, (600.8785400390625, 104.52711486816406, 61.32756042480469, 107.36791229248047))","('face', 0.6250799298286438, (1172.98193359375, 491.5589904785156, 67.7840576171875, 136.77359008789062))","('key', 0.4917847216129303, (891.2006225585938, 142.9620361328125, 124.52946472167969, 66.5118179321289))","('ball', 0.4406511187553406, (317.0003967285156, 598.2403564453125, 96.65862274169922, 88.10845947265625))"
