world_timestamp,world_index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
3329.990044,1510,0.95315493,0.315267429,0.3035691,3329.986964-0 3329.993124-1,,,,,,,,,,,,,,,
3329.994079,1510,0.95315493,0.31655299,0.302699919,3329.995034-0 3329.993124-1,,,,,,,,,,,,,,,
3329.998114,1510,0.97017211,0.316376168,0.302224056,3329.995034-0 3330.001194-1,,,,,,,,,,,,,,,
3330.00215,1510,0.97017211,0.317013158,0.303532439,3330.003105-0 3330.001194-1,,,,,,,,,,,,,,,
3330.006185,1511,0.959684848,0.317565098,0.304716246,3330.003105-0 3330.009264-1,,,,,,,,,,,,,,,
3330.01022,1511,0.959684848,0.315984744,0.30411259,3330.011175-0 3330.009264-1,,,,,,,,,,,,,,,
3330.014255,1511,0.997096765,0.315621175,0.303645485,3330.011175-0 3330.017335-1,,,,,,,,,,,,,,,
3330.01829,1511,0.997096765,0.314881074,0.303579528,3330.019245-0 3330.017335-1,,,,,,,,,,,,,,,
3330.022325,1511,1,0.31522392,0.304573543,3330.019245-0 3330.025405-1,,,,,,,,,,,,,,,
3330.02636,1511,1,0.317557684,0.305544098,3330.027315-0 3330.025405-1,,,,,,,,,,,,,,,
3330.030395,1511,1,0.317736521,0.305409479,3330.027315-0 3330.033475-1,,,,,,,,,,,,,,,
3330.03443,1511,1,0.317392607,0.30428047,3330.035385-0 3330.033475-1,,,,,,,,,,,,,,,
3330.038465,1512,0.935490969,0.316776261,0.303568565,3330.035385-0 3330.041545-1,,,,,,,,,,,,,,,
3330.0425,1512,0.935490969,0.316049217,0.303863665,3330.043455-0 3330.041545-1,,,,,,,,,,,,,,,
3330.046535,1512,1,0.316729409,0.305854697,3330.043455-0 3330.049615-1,,,,,,,,,,,,,,,
